idcliente;nome;email;ncontribuinte;dataregisto
1;"José Manuel  Lucas  Caiado";6136@lojacomp.pt;953106957;"2017-02-21 00:00:00"
2;"Dulce Marta Jesus  Zózimo";6137@lojacomp.pt;460055683;"2017-02-21 00:00:00"
3;"Tânia Rosa Reis  Norte";6138@lojacomp.pt;322946200;"2017-02-21 00:00:00"
4;"Telmo  Gustavo Silvério";6139@lojacomp.pt;688571228;"2017-02-21 00:00:00"
5;"Rodrigo  Filipe Vieira  Madeira";6140@lojacomp.pt;925889729;"2017-02-21 00:00:00"
6;"Arlindo  Francisco Morgado  Faustino";6141@lojacomp.pt;630577122;"2017-02-21 00:00:00"
7;"Cristina  Daniela Azevedo  Cordeiro";6142@lojacomp.pt;860864399;"2017-02-21 00:00:00"
8;"Rui Carlos  Sebastião  Matias";6143@lojacomp.pt;385586719;"2017-02-21 00:00:00"
9;"Teresa  Isabel  Simões  Anjos";6144@lojacomp.pt;139938451;"2017-02-21 00:00:00"
10;"Susana Diana Pinheiro  Silva";6145@lojacomp.pt;418998943;"2017-02-21 00:00:00"
11;"Maria Lara Norte  Ribeiro";6146@lojacomp.pt;516449766;"2017-02-21 00:00:00"
12;"João Flávio  Martins  Rebocho";6147@lojacomp.pt;995905068;"2017-02-21 00:00:00"
13;"Arlindo  António  Nascimento  Cordeiro";6148@lojacomp.pt;766455250;"2017-02-21 00:00:00"
14;"Arlindo  Francisco Félix  Silvério";6149@lojacomp.pt;120038629;"2017-02-21 00:00:00"
15;"Joana Marta Azevedo  Silvério";6150@lojacomp.pt;990864735;"2017-02-21 00:00:00"
16;"Cristiano Pedro Guinada  Rodrigues";6151@lojacomp.pt;227289862;"2017-02-21 00:00:00"
17;"José Filipe Cordeiro  Vieira";6152@lojacomp.pt;301287698;"2017-02-21 00:00:00"
18;"Daniela Sandra  Rodrigues  Mendes";6153@lojacomp.pt;445161463;"2017-02-21 00:00:00"
19;"Telmo  Fernando Conceição  Cardoso";6154@lojacomp.pt;875181474;"2017-02-21 00:00:00"
20;"Miguel  Pedro Magalhães  Fonseca";6155@lojacomp.pt;696079885;"2017-02-21 00:00:00"
21;"Cristiano Egídio  Lopes  Fernandes";6156@lojacomp.pt;570255507;"2017-02-21 00:00:00"
22;"Isabel  Catarina Alves  Caiado";6157@lojacomp.pt;663727072;"2017-02-21 00:00:00"
23;"Luis  José Simões  Faustino";6158@lojacomp.pt;560491408;"2017-02-21 00:00:00"
24;"Olga Sílvia Santos  Silvério  Brazão";6159@lojacomp.pt;683585657;"2017-02-21 00:00:00"
25;"Anabela Nádia Nunes  Oliveira";6160@lojacomp.pt;479222629;"2017-02-21 00:00:00"
26;"Carla  Gisela Faustino  Jesus";6161@lojacomp.pt;767554215;"2017-02-21 00:00:00"
27;"Patrícia Lara Matias  Pinheiro";6162@lojacomp.pt;741668679;"2017-02-21 00:00:00"
28;"Patrício Flávio  Nogueira  Madeira";6163@lojacomp.pt;751162341;"2017-02-21 00:00:00"
29;"Marco  Leandro  Carreira  Rebelo";6164@lojacomp.pt;112325026;"2017-02-21 00:00:00"
30;"Mónica  Eunice  Anjos  Nascimento";6165@lojacomp.pt;474309421;"2017-02-21 00:00:00"
31;"Cecília  Elsa Cardoso  Simões";6166@lojacomp.pt;206985995;"2017-02-21 00:00:00"
